Data;Moderada
03/03/2022;0,00020
02/03/2022;0,00275
25/02/2022;0,00292
24/02/2022;-0,00048
23/02/2022;-0,00029
22/02/2022;0,00164
21/02/2022;-0,00141
18/02/2022;-0,00111
17/02/2022;-0,00312
16/02/2022;0,00088
15/02/2022;0,00255
14/02/2022;0,00149
11/02/2022;0,00006
10/02/2022;0,00166
09/02/2022;-0,00012
08/02/2022;-0,00035
07/02/2022;0,00011
04/02/2022;0,00076
03/02/2022;0,00102
02/02/2022;-0,00061
01/02/2022;0,00259
31/01/2022;0,00117
28/01/2022;-0,00030
27/01/2022;0,00191
26/01/2022;0,00193
25/01/2022;0,00362
24/01/2022;-0,00117
21/01/2022;-0,00103
20/01/2022;0,00327
19/01/2022;0,00368
18/01/2022;0,00055
17/01/2022;-0,00175
14/01/2022;0,00292
13/01/2022;-0,00025
12/01/2022;0,00450
11/01/2022;0,00258
10/01/2022;-0,00137
07/01/2022;0,00102
06/01/2022;0,00029
05/01/2022;-0,00535
04/01/2022;-0,00121
03/01/2022;-0,00129
31/12/2021;0,00025
30/12/2021;0,00215
29/12/2021;-0,00216
28/12/2021;-0,00086
27/12/2021;0,00145
24/12/2021;0,00024
23/12/2021;-0,00052
22/12/2021;0,00011
21/12/2021;0,00208
20/12/2021;-0,00339
17/12/2021;-0,00230
16/12/2021;-0,00029
15/12/2021;0,00116
14/12/2021;-0,00129
13/12/2021;-0,00170
10/12/2021;0,00392
09/12/2021;-0,00291
08/12/2021;0,00224
07/12/2021;0,00206
06/12/2021;0,00304
03/12/2021;0,00279
02/12/2021;0,00734
01/12/2021;-0,00286
30/11/2021;-0,00143
29/11/2021;0,00216
26/11/2021;-0,00652
25/11/2021;0,00225
24/11/2021;0,00217
23/11/2021;0,00342
22/11/2021;-0,00220
19/11/2021;0,00203
18/11/2021;-0,00047
17/11/2021;-0,00260
16/11/2021;-0,00358
12/11/2021;-0,00048
11/11/2021;0,00375
10/11/2021;0,00137
09/11/2021;0,00238
08/11/2021;0,00039
05/11/2021;0,00219
04/11/2021;-0,00464
03/11/2021;0,00597
01/11/2021;0,00304
29/10/2021;0,00003
28/10/2021;-0,00394
27/10/2021;0,00028
26/10/2021;-0,00462
25/10/2021;0,00236
22/10/2021;-0,00304
21/10/2021;-0,00597
20/10/2021;-0,00053
19/10/2021;-0,00708
18/10/2021;-0,00055
15/10/2021;0,00180
14/10/2021;-0,00037
13/10/2021;0,00184
11/10/2021;-0,00143
08/10/2021;0,00441
07/10/2021;0,00020
06/10/2021;0,00082
05/10/2021;-0,00004
04/10/2021;-0,00434
01/10/2021;0,00428
30/09/2021;-0,00086
29/09/2021;0,00178
28/09/2021;-0,00557
27/09/2021;0,00062
24/09/2021;-0,00073
23/09/2021;0,00248
22/09/2021;0,00327
21/09/2021;0,00316
20/09/2021;-0,00430
17/09/2021;-0,00386
16/09/2021;-0,00207
15/09/2021;-0,00072
14/09/2021;0,00036
13/09/2021;0,00386
10/09/2021;-0,00113
09/09/2021;0,00512
08/09/2021;-0,00777
06/09/2021;0,00162
03/09/2021;0,00028
02/09/2021;-0,00470
01/09/2021;0,00144
31/08/2021;-0,00234
30/08/2021;-0,00159
27/08/2021;0,00424
26/08/2021;-0,00319
25/08/2021;0,00344
24/08/2021;0,00632
23/08/2021;-0,00179
20/08/2021;0,00313
19/08/2021;0,00202
18/08/2021;-0,00391
17/08/2021;-0,00156
16/08/2021;-0,00420
13/08/2021;-0,00132
